x,y
-0.6822288031,1.7962867236
-0.7046327124,1.7763351610
-0.7266377675,1.7561594378
-0.7320323805,1.7266484542
-0.7374269934,1.6971374707
-0.7428216064,1.6676264871
-0.7573591334,1.6419296487
-0.7745361841,1.6173339391
-0.7893918113,1.5914833718
-0.8005609544,1.5636400558
-0.8117300974,1.5357967398
-0.8062580994,1.5073954350
-0.7969791573,1.4788664807
-0.7877002153,1.4503375264
-0.7856359386,1.4208131590
-0.7868429462,1.3908374499
-0.7880499538,1.3608617409
-0.7896993233,1.3309113313
-0.7919177356,1.3009934663
-0.7941361480,1.2710756013
-0.7948587026,1.2412652687
-0.7883838152,1.2119723373
-0.7819089278,1.1826794058
-0.7754340403,1.1533864744
-0.7749698542,1.1235057177
-0.7756468505,1.0935133574
-0.7763238468,1.0635209971
-0.7766224742,1.0502911759
